,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,punta arenas,40,CL,1600112454,61,-53.15,-70.92,46.4,27.51
1,port elizabeth,0,ZA,1600112400,76,-33.92,25.57,55.4,24.16
2,tuktoyaktuk,90,CA,1600112553,93,69.45,-133.04,35.6,10.29
3,nikolskoye,11,RU,1600112554,87,59.7,30.79,51.8,8.95
4,ushuaia,20,AR,1600112486,64,-54.8,-68.3,42.8,16.11
5,mar del plata,0,AR,1600112393,51,-38.0,-57.56,59.0,8.05
6,bonavista,100,CA,1600112559,87,48.65,-53.11,64.18,20.29
7,fare,8,PF,1600112560,73,-16.7,-151.02,78.98,11.56
8,bardiyah,0,LY,1600112561,77,31.76,25.09,76.53,7.81
9,atuona,0,PF,1600112562,76,-9.8,-139.03,77.95,16.78
10,san patricio,75,MX,1600112563,66,19.22,-104.7,89.6,13.87
11,arraial do cabo,0,BR,1600112564,69,-22.97,-42.03,82.4,13.87
12,santa rosa,40,PH,1600112565,78,14.31,121.11,82.4,1.12
13,vaini,75,TO,1600112567,88,-21.2,-175.2,69.8,6.93
14,bredasdorp,5,ZA,1600112568,71,-34.53,20.04,50.0,6.93
15,avarua,81,CK,1600112569,73,-21.21,-159.78,71.6,9.17
16,shache,100,CN,1600112570,34,38.42,77.24,66.74,6.53
17,mataura,15,NZ,1600112571,92,-46.19,168.86,39.31,5.14
18,astoria,90,US,1600112572,87,46.19,-123.83,62.01,4.7
19,raudeberg,100,NO,1600112573,95,61.99,5.14,52.0,11.25
20,chokurdakh,23,RU,1600112574,98,70.63,147.92,38.88,8.86
21,lebu,0,CL,1600112576,69,-37.62,-73.65,52.9,23.69
22,bluff,55,NZ,1600112577,71,-46.6,168.33,46.18,23.09
23,vardo,75,NO,1600112559,76,70.37,31.11,48.2,26.4
24,sao filipe,90,CV,1600112579,81,14.9,-24.5,79.75,7.61
25,butaritari,94,KI,1600112580,71,3.07,172.79,83.43,19.35
26,atyrau,7,KZ,1600112581,72,47.12,51.88,62.6,11.18
27,naze,90,JP,1600112582,100,28.37,129.48,77.0,2.24
28,shitanjing,0,CN,1600112583,50,39.23,106.34,57.4,3.18
29,tiarei,20,PF,1600112585,69,-17.53,-149.33,82.4,8.05
30,arinos,0,BR,1600112586,25,-15.92,-46.11,89.26,6.58
31,ocean city,1,US,1600112484,47,39.28,-74.57,78.01,12.75
32,madridejos,97,ES,1600112588,41,39.47,-3.53,78.8,6.93
33,sorso,4,IT,1600112589,83,40.8,8.58,75.2,8.05
34,melfi,40,IT,1600112590,50,41.0,15.65,77.0,4.7
35,vila velha,0,BR,1600112574,57,-20.33,-40.29,80.01,13.87
36,chuy,0,UY,1600112593,60,-33.7,-53.46,54.18,10.8
37,kodiak,1,US,1600112594,62,57.79,-152.41,55.4,3.36
38,hermanus,55,ZA,1600112596,90,-34.42,19.23,46.99,2.86
39,havre-saint-pierre,40,CA,1600112598,66,50.23,-63.6,53.6,25.28
40,yellowknife,75,CA,1600112584,45,62.46,-114.35,46.4,13.87
41,aksarka,100,RU,1600112601,93,66.56,67.8,49.75,15.75
42,straumen,75,NO,1600112602,87,63.87,11.3,50.0,5.82
43,airai,4,TL,1600112603,91,-8.93,125.41,53.33,3.11
44,gobabis,0,NA,1600112604,25,-22.45,18.97,64.53,10.36
45,faanui,0,PF,1600112606,75,-16.48,-151.75,78.26,11.63
46,tasiilaq,60,GL,1600112607,69,65.61,-37.64,37.4,1.43
47,rikitea,0,PF,1600112608,81,-23.12,-134.97,73.65,12.37
48,mehamn,90,NO,1600112610,93,71.04,27.85,46.4,10.29
49,barrow,90,US,1600112611,93,71.29,-156.79,37.4,12.75
50,doda,0,IN,1600112612,54,33.13,75.57,67.24,3.04
51,mahebourg,40,MU,1600112614,64,-20.41,57.7,68.0,14.99
52,lagoa,26,PT,1600112615,65,39.05,-27.98,66.27,20.24
53,itarema,97,BR,1600112616,64,-2.92,-39.92,80.22,19.8
54,thompson,90,CA,1600112595,100,55.74,-97.86,42.8,6.93
55,ugoofaaru,99,MV,1600112618,78,5.67,73.0,81.95,9.64
56,albany,0,US,1600112619,41,42.6,-73.97,70.0,4.0
57,castro,99,BR,1600112620,45,-24.79,-50.01,80.4,3.74
58,lorengau,95,PG,1600112621,78,-2.02,147.27,82.24,10.27
59,sampit,100,ID,1600112623,97,-2.53,112.95,72.12,1.48
60,cabo san lucas,20,MX,1600112344,74,22.89,-109.91,89.6,4.7
61,paamiut,100,GL,1600112625,73,61.99,-49.67,43.83,34.99
62,qitaihe,100,CN,1600112626,90,45.8,130.85,53.26,0.94
63,marawi,100,PH,1600112627,95,8.0,124.29,73.0,5.99
64,svetlyy,0,RU,1600112628,93,54.67,20.13,55.4,4.47
65,kieta,100,PG,1600112629,76,-6.22,155.63,78.62,5.17
66,ketchikan,1,US,1600112398,55,55.34,-131.65,62.6,23.04
67,new norfolk,44,AU,1600112632,66,-42.78,147.06,52.0,3.0
68,tatawin,0,TN,1600112613,57,32.93,10.45,77.0,6.93
69,planaltina,40,BR,1600112613,30,-15.45,-47.61,84.2,10.29
70,saint-philippe,59,RE,1600112635,52,-21.36,55.77,66.2,19.46
71,general nakar,100,PH,1600112636,80,14.76,121.64,81.21,12.57
72,rabo de peixe,20,PT,1600112637,60,37.8,-25.58,68.0,11.41
73,the valley,20,AI,1600112638,70,18.22,-63.06,89.6,10.29
74,cape town,20,ZA,1600112639,81,-33.93,18.42,53.01,5.82
75,ca mau,100,VN,1600112641,90,9.18,105.15,75.76,2.95
76,puerto ayora,20,EC,1600112642,64,-0.74,-90.35,75.2,19.46
77,lavrentiya,100,RU,1600112643,96,65.58,-171.0,43.59,8.01
78,te anau,81,NZ,1600112645,83,-45.42,167.72,40.24,5.5
79,tautira,20,PF,1600112646,69,-17.73,-149.15,82.4,8.05
80,urumqi,0,CN,1600112600,29,43.8,87.6,60.8,8.95
81,hobyo,1,SO,1600112648,85,5.35,48.53,78.08,29.37
82,coquimbo,75,CL,1600112465,76,-29.95,-71.34,57.2,10.29
83,belmira,75,CO,1600112650,38,6.61,-75.67,73.4,11.41
84,hilo,1,US,1600112651,58,19.73,-155.09,82.4,4.88
85,guarapari,0,BR,1600112652,57,-20.67,-40.5,80.01,13.87
86,salalah,75,OM,1600112654,88,17.02,54.09,80.6,4.7
87,kapaa,75,US,1600112655,69,22.08,-159.32,82.4,8.05
88,kavieng,92,PG,1600112656,79,-2.57,150.8,82.51,14.5
89,provideniya,90,RU,1600112657,87,64.38,-173.3,46.4,4.47
90,yining,100,CN,1600112658,93,29.04,114.56,65.82,1.16
91,madimba,0,TZ,1600112661,90,-10.4,40.33,72.97,5.5
92,veraval,86,IN,1600112662,85,20.9,70.37,81.16,8.12
93,yazoo city,1,US,1600112663,62,32.86,-90.41,87.8,6.93
94,luderitz,0,NA,1600112664,61,-26.65,15.16,57.18,23.09
95,karasjok,75,NO,1600112665,93,69.47,25.51,46.4,12.75
96,vieques,75,PR,1600112666,74,18.43,-65.83,91.0,12.75
97,hirara,94,JP,1600112667,72,24.8,125.28,82.71,7.23
98,voh,2,NC,1600112668,80,-20.97,164.7,68.27,5.95
99,aklavik,75,CA,1600112670,80,68.22,-135.01,41.0,10.29
100,constitucion,0,CL,1600112672,54,-35.33,-72.42,61.41,13.78
101,fortuna,1,US,1600112673,68,40.6,-124.16,66.2,6.93
102,kirkwall,100,GB,1600112674,93,58.98,-2.96,57.2,6.93
103,kangaatsiaq,0,GL,1600112675,76,68.31,-53.46,35.26,16.44
104,balkhash,100,KZ,1600112676,45,46.84,74.98,66.88,6.2
105,ancud,98,CL,1600112678,84,-41.87,-73.82,49.87,7.83
106,ambilobe,4,MG,1600112679,63,-13.2,49.05,69.31,5.03
107,saskylakh,100,RU,1600112680,81,71.92,114.08,42.39,1.86
108,victoria,100,HK,1600112635,88,22.29,114.16,82.0,8.99
109,jieshi,64,CN,1600112682,87,22.81,115.83,79.86,13.89
110,coxim,0,BR,1600112683,9,-18.51,-54.76,104.14,7.07
111,touros,40,BR,1600112684,69,-5.2,-35.46,80.6,14.99
112,goure,67,NE,1600112686,66,13.98,10.27,82.99,5.01
113,dawei,19,MM,1600112688,89,14.08,98.2,77.22,2.57
